name,category,highlights,duration,price
Kerala Backwater Delight,Nature,Houseboat Cruise Kerala Tea Gardens,6,35000
Amritsar Golden Temple Tour,spiritual,Golden Temple Jallianwala Bagh Wagah Border,3,7000
Spiti Valley Road Trip,Adventure,Tabo Monastery Chandratal Lake,6,30000
Hampi Heritage Site,Heritage,Virupaksha Temple Vittala Temple,4,11000
Bangalore Tech Tour,Cultural,Vidhana Soudha Lalbagh Botanical Gardens,2,6000
Mysore and Coorg Coffee Tour,Nature,Mysore Palace Coffee Plantations Abbey Falls,5,20000
Rajasthan Desert Camping,Adventure,Desert Safari Sand Dunes Camel Ride,4,15000
Chandigarh Rose Garden Tour,Cultural,Rose Garden Rock Garden Sukhna Lake,3,7000
Trimbakeshwar and Nashik,spiritual,"Trimbakeshwar Temple, Panchavati, Saptashrungi",4,10000
Coorg Coffee Plantation Retreat,Nature,Coffee Estate Abbey Falls Raja's Seat,5,20000
Goa Sunset Cruise,Beach,Sunset Cruise Water Sports,3,10000
Ranthambore Wildlife Safari,Nature,Tiger Safari Ranthambore Fort,4,25000
Chennai Temples and Beaches,Cultural,Marina Beach Kapaleeshwarar Temple,3,9000
Nainital Lake Tour,Nature,Naini Lake Naina Devi Temple Tiffin Top,4,13000
Auli Skiing Adventure,Adventure,Skiing Snow Trek,5,20000
Char Dham Yatra,spiritual,Yamunotri Gangotri Kedarnath Badrinath,12,35000
Omkareshwar and Mandhata,spiritual,"Omkareshwar Temple, Mandhata Island",3,9000
Vaikom and Ettumanoor Temple,spiritual,"Vaikom Mahadeva Temple, Ettumanoor Temple",3,8000
Bodh Gaya and Varanasi,spiritual,"Mahabodhi Temple, Kashi Vishwanath Temple",6,18000
Kedarnath and Amarnath,spiritual,"Kedarnath Temple, Amarnath Cave",9,22000
Alleppey Houseboat Experience,Nature,Backwaters Kerala Houseboat Cruise,3,22000
Pondicherry Beach Escape,Beach,Auroville Promenade Beach,3,12000
Mount Abu Hill Station Tour,Nature,Dilwara Temples Nakki Lake,4,14000
Mysore Palace Tour,Cultural,Mysore Palace Chamundi Hill,3,8000
Kanha National Park Safari,Nature,Tiger Safari Kanha Jungle Safari,5,25000
Varkala Beach and Cliff Tour,Beach,Varkala Cliff Papanasam Beach,3,10000
Chennai Marina Beach and Temples,Cultural,Marina Beach Kapaleeshwarar Temple,3,9000
12 Jyotirlinga Tour,spiritual,"Somnath, Dwarka, Baidyanath, Kashi Vishwanath, Mahakaleshwar, Omkareshwar, Bhimashankar, Trimbakeshwar, Kedarnath, Rameswar, Nageshwar, Grishneshwar",15,60000
Kedarnath and Badrinath,spiritual,"Kedarnath Temple, Badrinath Temple, Mana Village",6,18000
Kashi Vishwanath and Sarnath,spiritual,"Kashi Vishwanath Temple, Sarnath Buddhist Temple",3,8000
Dwarkadhish and Somnath Pilgrimage,spiritual,"Dwarkadhish Temple, Somnath Temple",5,14000
Gangotri and Yamunotri,spiritual,"Gangotri Temple, Yamunotri Temple",6,16000
Kashmir Valley Tour,Nature,Dal Lake Gulmarg Sonamarg,5,30000
Sikkim Mountain Adventure,Adventure,Kanchenjunga Viewpoint Tsongmo Lake,6,22000
Tirupati Pilgrimage,spiritual,Tirumala Temple Holy Shrines,2,5000
Rajasthan Desert Safari,Adventure,Camel Ride Jaisalmer Fort Sam Sand Dunes,4,15000
Darjeeling Tea Gardens Tour,Nature,Tea Gardens Tiger Hill Batasia Loop,4,18000
Sula Vineyards Wine Tour,Cultural,Wine Tasting Sula Vineyards Nashik,2,5000
Tirupati Balaji Darshan,spiritual,"Tirumala Temple, Akhilandeshwari Temple",2,7000
Kailash Mansarovar Yatra,spiritual,"Kailash Mountain, Mansarovar Lake",15,70000
Patna and Nalanda Buddhist Circuit,spiritual,"Nalanda University, Bodh Gaya, Mahabodhi Temple",6,15000
Bikaner Camel Safari,Adventure,Camel Safari Junagarh Fort Gajner Palace,4,12000
Cherrapunji Living Root Bridge Trek,Adventure,Living Root Bridges Nohkalikai Falls,5,15000
Gulmarg Skiing Adventure,Adventure,Skiing Gondola Ride,5,25000
Rishikesh Rafting and Bungee,Adventure,Rafting Bungee Jumping,4,15000
Mysore and Srirangapatna,Heritage,"Mysore Palace, Ranganathaswamy Temple",4,10000
Tirumala and Tirupati,spiritual,"Tirumala Temple, Sri Venkateswara Temple",3,10000
Manali Adventure Trek,Adventure,Paragliding River Rafting Snow Trek,5,15000
Goa Beach Fun,Beach,Nightlife Beaches Water Sports,4,20000
Chopta Trekking Expedition,Adventure,Trekking Chopta Chandrashila Peak,5,15000
Bhubaneswar Temple Circuit,Heritage,Lingaraj Temple Udayagiri Caves Dhauli,3,7000
Manali Snow Adventure,Adventure,Solang Valley Snow Trek Skiing,5,22000
Pondicherry French Colonial Walk,Cultural,French Quarters Promenade Beach Auroville,3,9000
Bangalore and Coorg Tour,Nature,Lalbagh Botanical Gardens Coorg Coffee Plantations,5,20000
Ladakh Motorbike Tour,Adventure,Leh Pangong Lake Khardung La,8,35000
Bhopal Heritage Tour,Heritage,"Sanchi Stupa, Bhimbetka Caves",4,12000
Kolkata Durga Puja Tour,Cultural,Durga Puja Pandals Victoria Memorial,4,15000
Agra Heritage Tour,Heritage,Taj Mahal Agra Fort Fatehpur Sikri,3,8000
Udaipur Royal Lakes,Cultural,City Palace Lake Pichola Jag Mandir,3,13000
Almora Himalayan Trekking,Adventure,Kausani Trek Binsar Wildlife Sanctuary,5,15000
Dhanushkodi Ghost Town Tour,Adventure,Ghost Town Beaches,3,8000
Golden Temple Amritsar,spiritual,"Golden Temple, Jallianwala Bagh, Wagah Border",3,10000
Ajmer Sharif Dargah,spiritual,"Ajmer Sharif Dargah, Ana Sagar Lake",2,5000
Badrinath and Haridwar,spiritual,"Badrinath Temple, Haridwar Aarti",5,15000
Kanchipuram Temple Tour,spiritual,"Ekambareswarar Temple, Kamakshi Amman Temple",3,9000
Siddhivinayak and Shirdi,spiritual,"Siddhivinayak Temple, Shirdi Sai Baba Temple",3,8000
Shri Jagannath Puri Yatra,spiritual,"Jagannath Temple, Konark Temple",4,11000
Rishikesh Yoga Retreat,spiritual,Yoga Meditation Ganges River,7,25000
Leh Ladakh Road Trip,Adventure,Nubra Valley Pangong Lake Khardung La,7,25000
Mumbai City Tour,Cultural,Gateway of India Elephanta Caves Marine Drive,3,10000
